t1,t2,t3,t4,t5,t6,t7,t8,t9,t10
55946,55765,8984,5989,4963,4954,105504,106782,48516,97304
4090,3396,520,588,595,56152,8368,364,7386,3398
6377,1197,54259,4306,8961,5218,4886,59784,3745,8360
44191,33493,32587,1196,1210,6539,2628,47,589,5349
316,457,50,648,110,10,529,350,380,329
4370,2959,1645,318,356,2858,48780,1653,7361,1206
3785,3825,4388,4526,6287,6373,6482,2792,33794,48385
68,619,626,1042,650,3,0,0,0,0
2427,1438,1909,2641,33794,58293,1779,44,0,0
1965,1249,589,3984,3328,3937,480,3957,293,2530
2020,1300,1211,1199,3102,1224,2919,0,0,0
1393,356,733,1621,7458,6874,3263,1477,3578,8531
2028,2571,2959,1198,318,1036,58559,589,1291,260
89745,2571,112852,102125,122892,122882,93510,77561,58559,86332
166528,92259,2028,96079,5418,112171,59369,51080,49272,1704
541,5747,2571,3396,1610,2890,3175,2641,2968,2944
4034,6016,33166,44199,48516,58295,2231,1221,858,296
2028,2282,2324,2396,2542,2671,2858,1088,1286,899
2506,1089,1090,1208,785,2889,587,2858,593,608
5816,88125,162600,118997,98809,74789,56171,40815,8368,7153
10,2617,2571,1291,1198,1210,1580,1196,260,2628
1968,5065,1222,1073,662,597,3824,5127,223,4062
661,6,34,588,551,539,339,364,36,237
2571,60684,2959,44191,58559,37733,1527,1676,38061,5378
1196,1198,4878,58559,3578,3527,2716,110,1210,1200
56757,6870,1704,1961,44974,2232,63082,61240,356,593
134393,2059,1028,899,95307,86833,72641,86882,74324,107141
104211,94677,7451,1307,88405,1265,117590,88163,60756,96110
47,0,0,0,0,0,0,0,0,0
318,265,261,141,454,17,11,39,539,7
156605,112421,3671,106766,3424,170945,127298,94959,104875,2324
1103,1104,296,3148,46723,0,0,0,0,0
296,329,10,480,434,349,316,185,50,380
527,1197,1270,47099,150,3052,2011,48738,49530,110
1327,1258,1924,253,2513,3499,2456,1345,1339,2160
1208,1704,1193,1183,2020,1079,2352,1230,1307,1292
4262,3213,3114,2761,296,78499,50,858,47,8961
344,231,339,300,296,410,0,0,0,0
2622,430,2599,2598,2583,2581,2580,2567,2506,2558
2826,3082,1321,2723,1261,327,2641,0,0,0
2094,912,480,260,356,318,2947,3153,1263,3066
3155,56389,613,6751,0,0,0,0,0,0
207,110,3408,17,1653,2431,1909,3174,2762,2676
50,32,4226,296,6016,1729,44199,48516,593,858
7361,527,81845,92259,112552,356,4995,3949,2762,2959
2571,69844,91529,68358,59315,58559,76093,49272,122886,96079
133419,96588,80549,76093,7293,5620,3988,1907,4016,149354
10,315,349,350,364,377,380,442,474,480
296,428,858,48516,1089,55820,111,32587,4776,431
6539,6333,110102,4993,2490,120635,3793,3753,3578,122886
1711,50,32,296,2080,3114,3435,2731,933,3445
50,110,300,428,527,16,431,350,766,147
337,318,296,587,593,111,454,509,508,481
1203,1198,1196,356,953,912,527,1283,1253,3578
2628,1210,3578,2571,3717,3793,3623,2716,2490,2722
163,553,150,198,589,592,733,780,457,353
1196,912,858,608,2858,4993,1210,7090,3996,50
653,648,597,4823,586,552,539,494,480,839
509,1186,1094,1711,0,0,0,0,0,0
2288,4878,167746,60069,4720,76093,5618,5444,1688,111913
1394,1449,1617,1663,1674,1777,1912,1923,1292,1288
7361,46578,56367,114265,103543,63082,1197,110771,0,0
260,3703,1210,112,6874,3030,2571,1129,541,1249
4467,26326,2968,2936,1073,1967,1197,1199,1263,26258
50,318,527,858,1203,7361,48780,172591,80463,67255
39,300,14,110,357,410,440,471,500,550
1719,955,2935,994,1041,2925,2762,1103,1104,1112
327,315,265,185,261,328,316,434,442,454
4993,1197,7153,2617,150,6539,69844,41566,1377,8368
296,2324,2997,527,898,902,905,3451,1089,1244
1259,2571,1407,736,1240,2403,919,1036,2000,457
2959,296,858,32587,1653,2117,4776,4963,1704,4878
356,318,296,253,457,786,589,650,613,592
76091,8961,62336,1274,88129,48516,47404,6,40412,30745
